# gamma d2min
2.000000000000055986e-03 6.567235362077810112e-01
3.999999999999949776e-03 6.608446901021938213e-01
6.000000000000005329e-03 6.591811741082702625e-01
8.000000000000060882e-03 6.723815447443181048e-01
9.999999999999955105e-03 6.566358186770044902e-01
1.200000000000001066e-02 6.558887372573389829e-01
1.400000000000006621e-02 6.664464164101956412e-01
1.599999999999995870e-02 6.657821449554134352e-01
1.800000000000001599e-02 6.778960470604483701e-01
2.000000000000006981e-02 6.753531001361269270e-01
2.199999999999996403e-02 6.812239583274146693e-01
2.400000000000002132e-02 6.850124667791193112e-01
2.600000000000007513e-02 6.825308700086805125e-01
2.799999999999996936e-02 6.942185224984217529e-01
3.000000000000002665e-02 6.934201220288825906e-01
3.200000000000007699e-02 6.951085344164299462e-01
3.399999999999998163e-02 7.003588313782354025e-01
3.600000000000003197e-02 7.083306489464963329e-01
3.799999999999992273e-02 7.087284927438447513e-01
3.999999999999998002e-02 7.134968293600064682e-01
4.200000000000003730e-02 7.240765894195865249e-01
4.399999999999992806e-02 7.330495249999999796e-01
4.599999999999998535e-02 7.383753571417298600e-01
4.800000000000004263e-02 7.456671428997001527e-01
4.999999999999993339e-02 7.479257395044190959e-01
5.199999999999999067e-02 7.631879971729009782e-01
5.400000000000004796e-02 7.614080338226010269e-01
5.599999999999993872e-02 7.723760058159722108e-01
5.799999999999999600e-02 7.980923818339645814e-01
6.000000000000005329e-02 7.959058955748895547e-01
6.199999999999994404e-02 8.188800909978692921e-01
6.400000000000000133e-02 8.191391597912720535e-01
6.600000000000004474e-02 8.378811146740845484e-01
6.799999999999996325e-02 8.597982113103693758e-01
6.999999999999999278e-02 8.756771630070233625e-01
7.200000000000006395e-02 8.799731499309501048e-01
7.399999999999995470e-02 8.858726409367109200e-01
7.600000000000001199e-02 9.264432925189393098e-01
7.800000000000006928e-02 9.488121260179924743e-01
7.999999999999996003e-02 9.759691469992898272e-01
8.200000000000001732e-02 1.004729929016729972e+00
8.400000000000007461e-02 1.026867731565656694e+00
8.599999999999996536e-02 1.057385972648358319e+00
8.800000000000002265e-02 1.091753743787484243e+00
9.000000000000009381e-02 1.135477230944207605e+00
9.199999999999997069e-02 1.148596198741319574e+00
9.400000000000002798e-02 1.214123743432370395e+00
9.599999999999991873e-02 1.266029104241634951e+00
9.799999999999997602e-02 1.308920954916351187e+00
1.000000000000000333e-01 1.341666954391572020e+00
1.020000000000000906e-01 1.399378536943655327e+00
1.039999999999999813e-01 1.430007753192077180e+00
1.060000000000000386e-01 1.506538676517124253e+00
1.079999999999999294e-01 1.634563890175189105e+00
1.099999999999999867e-01 1.756115822672032589e+00
1.120000000000000440e-01 1.907738933524700364e+00
1.139999999999999347e-01 1.973415344714725350e+00
1.159999999999999920e-01 2.044602041692313410e+00
1.180000000000000493e-01 2.198379179265309347e+00
1.199999999999999400e-01 2.698196455591066467e+00
1.219999999999999973e-01 4.457219071075994243e+00
1.240000000000000546e-01 5.482201225808869260e+00
1.259999999999999454e-01 6.089605726343512160e+00
1.280000000000000027e-01 6.589311405900804886e+00
1.300000000000000877e-01 6.886819834698547638e+00
1.319999999999999507e-01 7.056842541317471351e+00
1.340000000000000080e-01 7.243484888709359915e+00
1.360000000000000653e-01 7.385598641611426096e+00
1.379999999999999283e-01 7.546526507853930532e+00
1.399999999999999856e-01 7.720326535901987697e+00
1.420000000000000706e-01 7.974234510248974672e+00
1.439999999999999614e-01 8.111801319657512721e+00
1.460000000000000187e-01 8.227865631352587528e+00
1.480000000000000759e-01 8.405302318690813124e+00
1.499999999999999667e-01 8.593187356457150372e+00
1.520000000000000240e-01 8.743771077324021590e+00
1.540000000000000813e-01 9.008565845669586736e+00
1.559999999999999720e-01 9.177375855786378267e+00
1.580000000000000571e-01 9.319902079316603860e+00
1.600000000000000588e-01 9.374071196490293190e+00
1.619999999999999774e-01 9.600758028815498335e+00
1.640000000000000346e-01 9.792698175203204514e+00
1.659999999999999531e-01 9.956985416062973826e+00
1.679999999999999549e-01 1.028156048192077066e+01
1.700000000000000400e-01 1.050921889756549810e+01
1.720000000000000973e-01 1.069750805507220548e+01
1.739999999999999880e-01 1.084124221951151945e+01
1.760000000000000453e-01 1.102744230319010477e+01
1.779999999999999361e-01 1.119981319161339961e+01
1.799999999999999933e-01 1.137644439118134621e+01
1.820000000000000506e-01 1.153717977526041771e+01
1.840000000000001079e-01 1.167621286529553259e+01
1.859999999999999987e-01 1.190174971044231356e+01
1.880000000000000560e-01 1.219355886953519708e+01
1.900000000000000300e-01 1.249191420713581024e+01
1.920000000000000040e-01 1.265659073519175770e+01
1.940000000000000613e-01 1.283941437929292739e+01
1.960000000000000353e-01 1.309100406280776241e+01
1.980000000000000093e-01 1.323076920226483821e+01
2.000000000000000666e-01 1.337837231241911340e+01
