# gamma d2min std
4.000000000000060799e-03 6.908595149502841926e-01 5.008394822247516087e-01
6.000000000000010533e-03 6.923004213087909919e-01 5.092823547093278114e-01
7.999999999999960268e-03 6.974124659367109125e-01 5.244491506417470195e-01
1.000000000000007133e-02 6.866606429667772016e-01 5.035721832683247579e-01
1.200000000000002107e-02 6.912146681758996047e-01 5.036502869293982831e-01
1.399999999999997080e-02 6.995801032137783926e-01 5.469064742327893747e-01
1.600000000000008013e-02 7.014488059284248456e-01 5.829290284516581711e-01
1.800000000000002986e-02 6.915384195075757745e-01 5.156995855324695288e-01
1.999999999999997960e-02 7.064805555792298408e-01 5.494288599920587046e-01
2.199999999999992933e-02 7.204032294034090622e-01 6.048128383700348554e-01
2.400000000000004213e-02 7.254061838107638271e-01 5.957398813730783171e-01
2.599999999999999187e-02 7.203362361288667692e-01 6.179433768409001715e-01
2.799999999999994160e-02 7.314372750276199042e-01 6.203175147697560510e-01
3.000000000000005093e-02 7.251869866615373583e-01 6.050414003521062956e-01
3.200000000000000761e-02 7.429104335246999868e-01 6.156310792471907378e-01
3.399999999999995387e-02 7.498924414101957314e-01 6.772305912230418556e-01
3.600000000000005973e-02 7.564706868114741134e-01 7.016023402580211510e-01
3.800000000000001293e-02 7.562607353772095031e-01 6.512340447075838368e-01
3.999999999999995920e-02 7.634146153941762103e-01 6.861022432280721173e-01
4.200000000000007200e-02 7.737222370205966149e-01 7.273210410554865613e-01
4.400000000000001826e-02 7.761061845782040169e-01 6.976382752164316248e-01
4.599999999999997147e-02 7.921850750118372142e-01 7.265513737165048003e-01
4.799999999999991773e-02 7.927303759094855851e-01 7.277625956818614128e-01
5.000000000000003053e-02 7.982184348149464759e-01 7.453280527327101890e-01
5.199999999999998374e-02 8.209375017696494137e-01 7.865708936581756738e-01
5.399999999999993000e-02 8.318362064078282936e-01 8.317769299027651941e-01
5.600000000000004280e-02 8.372914418166034212e-01 8.200033783859193015e-01
5.799999999999998906e-02 8.578345088147095732e-01 8.721481533857916579e-01
5.999999999999992839e-02 8.766033841934974813e-01 9.287414813296851479e-01
6.200000000000005507e-02 8.830079853515625521e-01 9.415822034427510090e-01
6.400000000000001521e-02 9.025242949928975467e-01 9.857760022325480209e-01
6.599999999999994760e-02 9.273088646523832690e-01 1.026873421963707900e+00
6.800000000000006040e-02 9.486297085483743619e-01 1.050726024043882489e+00
7.000000000000000666e-02 9.653715645379576937e-01 1.096286116592942061e+00
7.199999999999996680e-02 9.938259507122003678e-01 1.137178295935223460e+00
7.400000000000007960e-02 1.021053949297664243e+00 1.202076997249939438e+00
7.600000000000002587e-02 1.066071287503945753e+00 1.321999984742589618e+00
7.799999999999997213e-02 1.080628191810685257e+00 1.363789352311288061e+00
8.000000000000008493e-02 1.095974932863794216e+00 1.398844646497335642e+00
8.200000000000003120e-02 1.121091050950915768e+00 1.437905034271908411e+00
8.399999999999997746e-02 1.154992748334911834e+00 1.532032208749737778e+00
8.599999999999993761e-02 1.200762940346827623e+00 1.568513235553804286e+00
8.800000000000003653e-02 1.215786582563920470e+00 1.597169222763228591e+00
8.999999999999999667e-02 1.252935987661774053e+00 1.654504187948680372e+00
9.199999999999994293e-02 1.296456523500631342e+00 1.733344182622898799e+00
9.400000000000005573e-02 1.338821729332386523e+00 1.823002881500018768e+00
9.600000000000000200e-02 1.440434430170849378e+00 2.106609499283119025e+00
9.799999999999994826e-02 1.500784415920928039e+00 2.224529070558210364e+00
1.000000000000000611e-01 1.580231927391098523e+00 2.366229142234803628e+00
1.020000000000000212e-01 1.656231865181108098e+00 2.570090907778145084e+00
1.039999999999999675e-01 1.790759844136679435e+00 2.866260420387016783e+00
1.060000000000000803e-01 1.977369642341382683e+00 3.417150159330180514e+00
1.080000000000000265e-01 2.163413346468592291e+00 3.777355540443108506e+00
1.099999999999999728e-01 2.339379800240688034e+00 4.376695582036536969e+00
1.120000000000000856e-01 3.290929829097617443e+00 6.980363877758040125e+00
1.140000000000000319e-01 4.504581882384391278e+00 1.071878285654620910e+01
1.159999999999999781e-01 5.216385059015940406e+00 1.268996991507649597e+01
1.179999999999999383e-01 5.701151597920612879e+00 1.397395664204178800e+01
1.200000000000000511e-01 6.013448218686868962e+00 1.497231721790187109e+01
1.219999999999999973e-01 6.203424045776120721e+00 1.552451097783605327e+01
1.239999999999999714e-01 6.344957269483901818e+00 1.584990380353874428e+01
1.260000000000000564e-01 6.468019253783931610e+00 1.617732385079534296e+01
1.280000000000000304e-01 6.635239624660668412e+00 1.666338181511716598e+01
1.299999999999999489e-01 6.775803860896068898e+00 1.700089691360232180e+01
1.320000000000000895e-01 6.923595463176688725e+00 1.737611893116233119e+01
1.340000000000000080e-01 7.057411564873342869e+00 1.774155717880200456e+01
1.359999999999999543e-01 7.212766257305475825e+00 1.816622909431902499e+01
1.380000000000000671e-01 7.395739221723091283e+00 1.876573470275180355e+01
1.400000000000000133e-01 7.598217025282118620e+00 1.927401163014677010e+01
1.419999999999999873e-01 7.853791263533775435e+00 2.004122381780879181e+01
1.440000000000001001e-01 8.056171510846748873e+00 2.065229182835853550e+01
1.460000000000000464e-01 8.279746966173451739e+00 2.124594673808501000e+01
1.479999999999999927e-01 8.573791914133522596e+00 2.206004413094110816e+01
1.500000000000001055e-01 8.796322880642360786e+00 2.252652885598131505e+01
1.520000000000000517e-01 8.958958690879494924e+00 2.293392546398072085e+01
1.539999999999999980e-01 9.182689619874526699e+00 2.358105839989983465e+01
1.559999999999999443e-01 9.367976438005049644e+00 2.405486369108887956e+01
1.580000000000000571e-01 9.489954386387308816e+00 2.439777477171076470e+01
1.600000000000000033e-01 9.742411132773042937e+00 2.509493014396857191e+01
1.619999999999999774e-01 9.889640033566129418e+00 2.553765963883165213e+01
1.640000000000000624e-01 1.001197597190064670e+01 2.594626063944276595e+01
1.660000000000000364e-01 1.014820123972537935e+01 2.624979530695105367e+01
1.679999999999999549e-01 1.041907331051333507e+01 2.689306237537731903e+01
1.699999999999999289e-01 1.053279317097735124e+01 2.721013793261337455e+01
1.720000000000000140e-01 1.064789150290798503e+01 2.756963374670367628e+01
1.739999999999999880e-01 1.091176626402304350e+01 2.825455656371892132e+01
1.759999999999999343e-01 1.108618302248855692e+01 2.875860322742165920e+01
1.780000000000000471e-01 1.129239936820352064e+01 2.934186793570832208e+01
1.799999999999999933e-01 1.153371534684540656e+01 2.986931775490454299e+01
1.819999999999999396e-01 1.169823932773240216e+01 3.033717660839777608e+01
1.840000000000000524e-01 1.186316573936434615e+01 3.069938951545997341e+01
1.859999999999999987e-01 1.192581900330847589e+01 3.091455628802056310e+01
1.879999999999999449e-01 1.201190339115175121e+01 3.109083340101434345e+01
1.900000000000000577e-01 1.216583073285787364e+01 3.149793609798869554e+01
1.920000000000000040e-01 1.248137582393268730e+01 3.234980852424551045e+01
1.939999999999999503e-01 1.280695618581123618e+01 3.311034940520917758e+01
1.959999999999999798e-01 1.306152462429174754e+01 3.382107246251941746e+01
1.980000000000000093e-01 1.338886978531210481e+01 3.469584774644235381e+01
1.999999999999999556e-01 1.369725118435921551e+01 3.563581769755664652e+01
